,City,Temperature,Humidity,Cloud Cover (%),Wind Speed,Log,Lat
451,Yulara,80.74,21,0,11.48,130.9889,-25.2406
452,Hartford,64.81,98,100,1.01,-72.7662,41.7668
453,Shache,53.71,26,96,2.33,77.2406,38.4167
454,Xining,48.58,77,82,1.97,101.7667,36.6167
455,Poum,76.91,77,1,6.04,164.0167,-20.2333
456,Barcelos,64.83,90,90,11.07,-8.6151,41.5388
457,Payo,78.22,83,100,0.31,103.6372,-3.7508
458,Iguape,66.87,89,12,5.97,-47.5553,-24.7081
459,Ternate,85.5,68,95,6.71,127.4,0.8
460,Turaif,61.05,88,75,25.32,38.6637,31.6725
461,Hokitika,55.4,88,100,9.19,170.9667,-42.7167
462,Marang,76.93,82,100,7.47,103.2059,5.2056
463,São Félix do Xingu,72.34,98,100,1.01,-51.995,-6.6447
464,Aksarka,19.81,87,97,5.91,67.7975,66.5606
465,Simao,73.2,60,46,3.09,100.9748,22.7886
466,Fort Morgan,52.45,30,40,20.71,-103.8,40.2503
467,Touros,77.74,73,10,12.93,-35.4608,-5.1989
468,De Aar,58.87,69,100,12.15,24.0123,-30.6497
469,Acaraú,78.44,79,100,13.85,-40.12,-2.8856
470,Makkah al Mukarramah,78.94,65,30,2.93,39.8261,21.4267
471,Mabaruma,77.86,88,100,2.59,-59.7833,8.2
472,Dalvik,39.13,91,100,5.59,-18.5286,65.9702
473,Hirara,77.27,57,20,14.97,125.2833,24.8
474,Ngunguru,61.65,66,6,9.31,174.5,-35.6167
475,Dedza,64.36,53,14,3.02,34.3332,-14.3779
476,Pochutla,80.82,93,92,2.75,-96.4661,15.7432
477,Hanzhong,59.02,89,100,0.96,107.0303,33.0728
478,Barra dos Coqueiros,75.22,94,75,10.36,-37.0386,-10.9089
479,Tabou,77.02,90,87,7.49,-7.3528,4.423
480,Temir,32.58,76,43,18.54,57.13,49.1414
481,Saint-Augustin,51.17,87,100,8.43,-58.6502,51.226
482,Ostrovnoy,31.39,83,100,18.84,39.5131,68.0531
483,São Raimundo Nonato,70.68,95,100,1.28,-42.6994,-9.0153
484,Naraini,70.12,53,0,3.67,80.4833,25.1833
485,West Bay,82.0,80,20,4.61,-81.4167,19.3667
486,Krishnagiri,69.13,66,5,1.99,78.2333,12.5333
487,Linxia Chengguanzhen,57.0,52,94,3.0,103.2064,35.6003
488,Pitimbu,77.59,77,10,9.06,-34.8086,-7.4706
489,Tessaoua,79.03,22,55,10.31,7.9874,13.7574
490,Pacasmayo,61.12,88,79,10.25,-79.5714,-7.4006
491,Kinarut,84.22,79,20,3.44,116.0466,5.8231
492,Puerto Carreño,79.2,79,79,4.7,-67.4859,6.189
493,Caraballeda,82.47,74,100,4.61,-66.8522,10.6112
494,Half Moon Bay,56.73,73,20,23.02,-122.4286,37.4636
495,Dalnerechensk,50.18,52,59,13.33,133.7225,45.9339
496,Great Yarmouth,58.06,81,88,16.49,1.7305,52.6083
497,Florence,62.8,96,0,1.99,11.25,43.7667
498,Genhe,33.55,41,18,7.63,121.5167,50.7833
499,Cockburn Town,80.89,70,100,5.61,-71.1419,21.4612
500,Moram,68.65,69,0,5.53,76.4667,17.8
501,Chunskiy,31.23,49,3,3.36,99.6342,56.0815
502,Phonhong,80.64,70,78,1.48,102.4166,18.5007
503,Zhuhai,75.52,69,20,11.5,113.5678,22.2769
504,Kiryat Gat,74.52,33,0,5.03,34.7642,31.61
505,Baykit,31.42,69,100,10.16,96.37,61.67
506,Skjervøy,32.0,56,100,4.21,20.9714,70.0311
507,Bilma,68.22,16,0,4.05,12.9164,18.6853
508,Uarini,74.98,93,100,1.36,-65.1083,-2.99
509,Mengcheng,58.35,64,100,8.41,116.5655,33.2579
510,Socorro,60.8,24,0,5.75,-106.3033,31.6546
511,Evensk,20.34,80,24,5.61,159.2333,61.95
512,Harper,76.84,90,98,7.43,-7.7169,4.375
513,Buedelsdorf,50.36,95,39,5.75,9.6833,54.3167
514,Susanville,47.91,51,0,4.0,-120.653,40.4163
515,San Cristobal,66.38,97,100,1.25,-72.225,7.7669
516,Wellington,59.5,70,100,23.02,174.7756,-41.2866
517,Monte Alegre,79.68,72,100,3.69,-54.0692,-2.0078
518,Suba,84.09,79,100,23.09,121.0102,10.8438
519,Takoradze,77.14,87,98,3.38,-1.7554,4.8845
520,Severodvinsk,28.51,89,36,8.75,39.8302,64.5635
521,Griffith,53.56,95,100,13.8,-87.4237,41.5284
522,Ojinaga,65.35,34,0,0.0,-104.4167,29.5667
523,Maragogi,76.21,83,90,9.93,-35.2225,-9.0122
524,Yeppoon,87.58,39,47,4.32,150.7333,-23.1333
525,Saint-Pierre,67.3,73,0,8.05,55.4781,-21.3393
526,Belmonte,73.94,86,73,5.64,-38.8828,-15.8631
527,Taoudenni,78.69,14,78,9.78,-3.9836,22.6783
528,Xuanzhou,59.7,72,100,3.69,118.7553,30.9525
529,Muli,81.16,79,53,9.24,73.5667,2.9167
530,Lesosibirsk,30.76,71,46,6.6,92.4828,58.2358
531,Avinurme,47.64,98,100,4.59,26.8642,58.9822
532,Te Anau,55.24,80,100,5.57,167.7167,-45.4167
533,Clonakilty,58.21,85,90,28.61,-8.8706,51.6231
534,Broome,61.92,84,75,8.01,-75.833,42.2506
535,Sena Madureira,77.76,72,43,2.37,-68.6569,-9.0656
536,Wattegama,76.96,86,94,1.21,81.4808,6.7989
537,Dunedin,55.8,69,100,1.99,170.5036,-45.8742
538,Somers,44.49,90,100,18.41,-87.9104,42.6403
539,Saint-Gabriel,60.62,90,100,3.24,-73.3824,46.3001
540,Shizukuishi,52.57,56,56,7.67,140.9833,39.6833
541,Springbok,56.7,38,81,3.02,17.8865,-29.6643
542,Huilong,65.93,72,100,12.71,121.655,31.8111
543,Agirish,24.44,85,17,4.34,63.0231,61.9247
544,Kichmengskiy Gorodok,27.48,96,8,3.13,45.7854,59.9816
545,Gonzalez,73.35,97,75,9.22,-87.2914,30.5816
546,Yemel'yanovo,20.21,86,0,0.0,92.6767,56.1681
547,São Lourenço do Sul,62.83,88,1,14.27,-51.9783,-31.3653
548,Bārmer,73.27,73,0,5.41,71.3833,25.75
549,Yeniseysk,30.56,71,24,7.09,92.1703,58.4497
550,Batemans Bay,70.11,56,50,3.15,150.1833,-35.7167
551,Khuzhir,35.62,51,11,1.83,107.3397,53.1939
552,Yuci,53.35,58,100,2.24,112.7319,37.6803
553,Peniche,63.27,93,1,10.96,-9.3811,39.3558
554,Clyde River,3.43,72,0,5.75,-68.5914,70.4692
555,Bonthe,77.56,87,58,3.02,-12.505,7.5264
556,Chumikan,34.0,97,100,8.43,135.315,54.7183
557,Otane,65.89,58,91,9.44,176.6333,-39.8833
558,Banda Aceh,82.27,75,100,6.06,95.3222,5.5577
559,Ulfborg,50.27,94,70,7.14,8.3217,56.2673
560,Necochea,61.95,72,100,9.93,-58.7368,-38.5473
561,Hoquiam,48.38,92,100,14.97,-123.8893,46.9809
562,Benguela,74.73,86,51,6.46,13.4055,-12.5763
563,Etchoropo,75.96,47,4,11.63,-109.6667,26.7667
564,Enterprise,62.51,20,40,4.61,-115.2419,36.0252
565,Ballina,83.01,53,5,6.8,153.5667,-28.8667
566,Mehamn,33.75,86,100,13.8,27.8492,71.0357
